"x" "xs" "y"
"1" 100 -1.68068613439659 0
"2" 302.040816326531 -1.61208670033958 0
"3" 504.081632653061 -1.54348726628258 0
"4" 706.122448979592 -1.47488783222558 0
"5" 908.163265306122 -1.40628839816857 0
"6" 1110.20408163265 -1.33768896411157 0
"7" 1312.24489795918 -1.26908953005457 0
"8" 1514.28571428571 -1.20049009599756 0
"9" 1716.32653061224 -1.13189066194056 0
"10" 1918.36734693878 -1.06329122788356 0
"11" 2120.40816326531 -0.994691793826551 0
"12" 2322.44897959184 -0.926092359769548 0
"13" 2524.48979591837 -0.857492925712544 0
"14" 2726.5306122449 -0.788893491655541 0
"15" 2928.57142857143 -0.720294057598537 3
"16" 3130.61224489796 -0.651694623541534 0
"17" 3332.65306122449 -0.58309518948453 5
"18" 3534.69387755102 -0.514495755427527 4
"19" 3736.73469387755 -0.445896321370523 3
"20" 3938.77551020408 -0.37729688731352 32
"21" 4140.81632653061 -0.308697453256516 30
"22" 4342.85714285714 -0.240098019199513 40
"23" 4544.89795918367 -0.171498585142509 38
"24" 4746.9387755102 -0.102899151085506 58
"25" 4948.97959183673 -0.0342997170285018 40
"26" 5151.02040816327 0.0342997170285018 20
"27" 5353.06122448979 0.102899151085505 43
"28" 5555.10204081633 0.171498585142509 57
"29" 5757.14285714286 0.240098019199512 16
"30" 5959.18367346939 0.308697453256516 19
"31" 6161.22448979592 0.377296887313519 42
"32" 6363.26530612245 0.445896321370523 28
"33" 6565.30612244898 0.514495755427526 41
"34" 6767.34693877551 0.58309518948453 34
"35" 6969.38775510204 0.651694623541534 12
"36" 7171.42857142857 0.720294057598537 4
"37" 7373.4693877551 0.78889349165554 7
"38" 7575.51020408163 0.857492925712544 8
"39" 7777.55102040816 0.926092359769548 1
"40" 7979.59183673469 0.994691793826551 2
"41" 8181.63265306122 1.06329122788355 0
"42" 8383.67346938776 1.13189066194056 0
"43" 8585.71428571428 1.20049009599756 0
"44" 8787.75510204082 1.26908953005457 0
"45" 8989.79591836735 1.33768896411157 0
"46" 9191.83673469388 1.40628839816857 0
"47" 9393.87755102041 1.47488783222558 0
"48" 9595.91836734694 1.54348726628258 0
"49" 9797.95918367347 1.61208670033958 0
"50" 10000 1.68068613439659 0
