"x" "y" "xs" "ys" "z"
"1" 100 100 -1.48461497791618 -1.48461497791618 0
"2" 1750 100 -0.989743318610787 -1.48461497791618 5
"3" 3400 100 -0.494871659305394 -1.48461497791618 1
"4" 5050 100 0 -1.48461497791618 1
"5" 6700 100 0.494871659305394 -1.48461497791618 0
"6" 8350 100 0.989743318610787 -1.48461497791618 0
"7" 10000 100 1.48461497791618 -1.48461497791618 0
"8" 100 1750 -1.48461497791618 -0.989743318610787 2
"9" 1750 1750 -0.989743318610787 -0.989743318610787 3
"10" 3400 1750 -0.494871659305394 -0.989743318610787 13
"11" 5050 1750 0 -0.989743318610787 71
"12" 6700 1750 0.494871659305394 -0.989743318610787 43
"13" 8350 1750 0.989743318610787 -0.989743318610787 1
"14" 10000 1750 1.48461497791618 -0.989743318610787 0
"15" 100 3400 -1.48461497791618 -0.494871659305394 1
"16" 1750 3400 -0.989743318610787 -0.494871659305394 9
"17" 3400 3400 -0.494871659305394 -0.494871659305394 5
"18" 5050 3400 0 -0.494871659305394 174
"19" 6700 3400 0.494871659305394 -0.494871659305394 34
"20" 8350 3400 0.989743318610787 -0.494871659305394 1
"21" 10000 3400 1.48461497791618 -0.494871659305394 1
"22" 100 5050 -1.48461497791618 0 0
"23" 1750 5050 -0.989743318610787 0 10
"24" 3400 5050 -0.494871659305394 0 11
"25" 5050 5050 0 0 27
"26" 6700 5050 0.494871659305394 0 11
"27" 8350 5050 0.989743318610787 0 21
"28" 10000 5050 1.48461497791618 0 0
"29" 100 6700 -1.48461497791618 0.494871659305394 2
"30" 1750 6700 -0.989743318610787 0.494871659305394 17
"31" 3400 6700 -0.494871659305394 0.494871659305394 27
"32" 5050 6700 0 0.494871659305394 23
"33" 6700 6700 0.494871659305394 0.494871659305394 14
"34" 8350 6700 0.989743318610787 0.494871659305394 2
"35" 10000 6700 1.48461497791618 0.494871659305394 0
"36" 100 8350 -1.48461497791618 0.989743318610787 1
"37" 1750 8350 -0.989743318610787 0.989743318610787 3
"38" 3400 8350 -0.494871659305394 0.989743318610787 1
"39" 5050 8350 0 0.989743318610787 1
"40" 6700 8350 0.494871659305394 0.989743318610787 0
"41" 8350 8350 0.989743318610787 0.989743318610787 0
"42" 10000 8350 1.48461497791618 0.989743318610787 1
"43" 100 10000 -1.48461497791618 1.48461497791618 0
"44" 1750 10000 -0.989743318610787 1.48461497791618 0
"45" 3400 10000 -0.494871659305394 1.48461497791618 2
"46" 5050 10000 0 1.48461497791618 0
"47" 6700 10000 0.494871659305394 1.48461497791618 1
"48" 8350 10000 0.989743318610787 1.48461497791618 0
"49" 10000 10000 1.48461497791618 1.48461497791618 0
