"x" "y" "xs" "ys" "z"
"1" 100 100 -1.48461497791618 -1.48461497791618 0
"2" 1750 100 -0.989743318610787 -1.48461497791618 0
"3" 3400 100 -0.494871659305394 -1.48461497791618 0
"4" 5050 100 0 -1.48461497791618 0
"5" 6700 100 0.494871659305394 -1.48461497791618 0
"6" 8350 100 0.989743318610787 -1.48461497791618 0
"7" 10000 100 1.48461497791618 -1.48461497791618 0
"8" 100 1750 -1.48461497791618 -0.989743318610787 0
"9" 1750 1750 -0.989743318610787 -0.989743318610787 1
"10" 3400 1750 -0.494871659305394 -0.989743318610787 0
"11" 5050 1750 0 -0.989743318610787 2
"12" 6700 1750 0.494871659305394 -0.989743318610787 0
"13" 8350 1750 0.989743318610787 -0.989743318610787 0
"14" 10000 1750 1.48461497791618 -0.989743318610787 0
"15" 100 3400 -1.48461497791618 -0.494871659305394 0
"16" 1750 3400 -0.989743318610787 -0.494871659305394 3
"17" 3400 3400 -0.494871659305394 -0.494871659305394 1
"18" 5050 3400 0 -0.494871659305394 27
"19" 6700 3400 0.494871659305394 -0.494871659305394 13
"20" 8350 3400 0.989743318610787 -0.494871659305394 0
"21" 10000 3400 1.48461497791618 -0.494871659305394 0
"22" 100 5050 -1.48461497791618 0 0
"23" 1750 5050 -0.989743318610787 0 0
"24" 3400 5050 -0.494871659305394 0 5
"25" 5050 5050 0 0 23
"26" 6700 5050 0.494871659305394 0 5
"27" 8350 5050 0.989743318610787 0 4
"28" 10000 5050 1.48461497791618 0 0
"29" 100 6700 -1.48461497791618 0.494871659305394 0
"30" 1750 6700 -0.989743318610787 0.494871659305394 0
"31" 3400 6700 -0.494871659305394 0.494871659305394 2
"32" 5050 6700 0 0.494871659305394 4
"33" 6700 6700 0.494871659305394 0.494871659305394 9
"34" 8350 6700 0.989743318610787 0.494871659305394 0
"35" 10000 6700 1.48461497791618 0.494871659305394 0
"36" 100 8350 -1.48461497791618 0.989743318610787 0
"37" 1750 8350 -0.989743318610787 0.989743318610787 0
"38" 3400 8350 -0.494871659305394 0.989743318610787 3
"39" 5050 8350 0 0.989743318610787 3
"40" 6700 8350 0.494871659305394 0.989743318610787 0
"41" 8350 8350 0.989743318610787 0.989743318610787 0
"42" 10000 8350 1.48461497791618 0.989743318610787 0
"43" 100 10000 -1.48461497791618 1.48461497791618 0
"44" 1750 10000 -0.989743318610787 1.48461497791618 0
"45" 3400 10000 -0.494871659305394 1.48461497791618 0
"46" 5050 10000 0 1.48461497791618 0
"47" 6700 10000 0.494871659305394 1.48461497791618 0
"48" 8350 10000 0.989743318610787 1.48461497791618 0
"49" 10000 10000 1.48461497791618 1.48461497791618 0
